"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","0","0","0","","",,"NM","NM","EAST PEORIA","EAST PEORIA, IL","","",,"","5/28/1934","1934","0","","1","1","FON DU LAC STATE BANK","IL","0",374,238,,"FAILURE","PO","FDIC","","",""
"","0","0","0","","",,"NM","NM","GRANTWOOD","GRANTWOOD, NJ","","",,"","1/3/1935","1935","0","","1","10","CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.","NJ","0",2305,590,,"FAILURE","PO","FDIC","","",""
"","0","0","0","","",,"NM","NM","CUMMINGS","CUMMINGS, ND","","",,"","12/21/1936","1936","0","","1","100","THE CUMMINGS STATE BANK","ND","0",,30,,"FAILURE","P&A","FDIC","","",""
"","LINCOLN","UNION BANK&TRUST CO","NE","","I",13797,"NM","NM","TAYLOR","TAYLOR, NE","PASAN","",1653,"30SEP2025","5/31/1985","1985","2466","","1","1000","BANK OF TAYLOR","NE","0",14542,13360,"5/31/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",18388,"NM","NM","FAIRFIELD","FAIRFIELD, NE","POSAA","",1656,"30SEP2025","5/31/1985","1985","6571","","1","1001","FAIRFIELD STATE BANK","NE","0",6795,6034,"5/31/1985","FAILURE","PO","FDIC","T","","na"
"","GUIDE ROCK","GUIDE ROCK STATE BANK","NE","","I",18738,"NM","NM","EDGAR","EDGAR, NE","PASAN","",1118,"30SEP2025","5/31/1985","1985","2469","","1","1002","SECURITY STATE BANK","NE","0",6570,6072,"5/31/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",19117,"NM","NM","OAK","OAK, NE","POSAA","",165,"30SEP2025","5/31/1985","1985","6570","","1","1003","SCROGGIN & COMPANY BANK","NE","0",3552,3219,"5/31/1985","FAILURE","PO","FDIC","T","","na"
"","LOS ANGELES","COAST S&LA","CA","85-05-31","",30965,"SL","SL","SAN DIEGO","SAN DIEGO, CA","","",327146,"30SEP2025","5/31/1985","1985","1706","MCP-C","3","1004","CENTRAL S&LA","CA","0",2308903,1680711,"4/10/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","LOS ANGELES","SOUTHERN CALIFORNIA FS&LA","CA","85-06-06","",28621,"SL","SL","BEVERLY HILLS","BEVERLY HILLS, CA","","",223825,"30SEP2025","6/6/1985","1985","1707","MCP-C","3","1005","SOUTHERN CALIFORNIA  S&LA","CA","0",1492644,1263750,"4/30/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","0","0","0","","",31323,"SL","SL","NASHVILLE","NASHVILLE, TN","","",3638,"30SEP2025","6/7/1985","1985","0","","3","1006","COMMUNITY FS&LA","TN","0",22747,18798,"6/7/1985","FAILURE","PO","FSLIC","","","na"
"","0","0","0","","",31674,"SL","SL","KNOXVILLE","KNOXVILLE, TN","","",1529,"30SEP2025","6/7/1985","1985","0","","3","1007","MAGNOLIA FS&LA","TN","0",4816,3649,"6/7/1985","FAILURE","IDT","FSLIC","","","na"
"","RIVERTON","FIRST WY BANK NA RIVERTO","WY","","I",18551,"N","N","RIVERTON","RIVERTON, WY","PANNN","",10568,"30SEP2025","6/11/1985","1985","2470","","1","1008","AMERICAN NATIONAL BANK OF RIVERTON","WY","0",37937,39595,"6/11/1985","FAILURE","PA","FDIC","T","","na"
"","EDNA","FIRST STATE BANK OF EDNA","KS","","I",4657,"NM","NM","EDNA","EDNA, KS","PASAN","",2827,"30SEP2025","6/13/1985","1985","2471","","1","1009","THE FIRST STATE BANK","KS","0",8325,8119,"6/13/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","MAKOTI","MAKOTI, ND","","",,"","12/21/1936","1936","0","","1","101","RESERVATION STATE BANK","ND","0",,78,,"FAILURE","P&A","FDIC","","",""
"","SLEEPY EYE","FIRST SECURITY STB SLEEP","MN","","I",1602,"NM","NM","BENSON","BENSON, MN","PASAN","",8386,"30SEP2025","6/14/1985","1985","2472","","1","1010","SWIFT COUNTY BANK","MN","0",41598,38007,"6/14/1985","FAILURE","PA","FDIC","T","","na"
"","DODGEVILLE","M&I BANK OF DODGEVILLE","WI","","I",11613,"NM","NM","DODGEVILLE","DODGEVILLE, WI","DTSAN","",2,"30SEP2025","6/14/1985","1985","6576","","1","1011","STRONG'S BANK","WI","0",30733,28240,"6/14/1985","FAILURE","IDT","FDIC","T","","na"
"","0","0","0","","I",10507,"NM","NM","DEXTER","DEXTER, KS","POSNN","",1280,"30SEP2025","6/20/1985","1985","6577","","1","1012","FARMERS STATE BANK OF DEXTER","KS","0",4267,4166,"6/20/1985","FAILURE","PO","FDIC","T","","na"
"","OKLAHOMA CITY","CITY BANK&TRUST","OK","","I",4165,"N","N","OKLAHOMA CITY","OKLAHOMA CITY, OK","PANNN","",32615,"30SEP2025","6/21/1985","1985","2474","","1","1013","FIRST CITY BANK, N.A.","OK","0",97808,92708,"6/21/1985","FAILURE","PA","FDIC","T","","na"
"","CEDAR RAPIDS","PEOPLES BANK&TRUST CO","IA","","I",13153,"NM","NM","URBANA","URBANA, IA","PASAN","",810,"30SEP2025","6/21/1985","1985","2473","","1","1014","URBANA SAVINGS BANK","IA","0",7158,6325,"6/21/1985","FAILURE","PA","FDIC","T","","na"
"","0","HONGKONG&SHANGHAI BK COR","0","","I",22452,"N","N","NEW YORK","NEW YORK, NY","DTNNN","",0,"30SEP2025","6/21/1985","1985","5580","","1","1015","GOLDEN PACIFIC NATIONAL BANK","NY","0",146254,131418,"6/21/1985","FAILURE","IDT","FDIC","T","","na"
"","SAN CARLOS","EUREKA FS&LA","CA","85-06-21","",28745,"SL","SL","SAN CARLOS","SAN CARLOS, CA","","",453308,"30SEP2025","6/21/1985","1985","1729","MCP-A","3","1016","EUREKA FS&LA","CA","0",1570628,1364360,"5/26/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",28913,"SB","SB","LAKE PROVIDENCE","LAKE PROVIDENCE, LA","","",156154,"30SEP2025","6/25/1985","1985","7530","MCP-A","3","1017","SUN BELT FEDERAL BANK, FSB","LA","0",278335,269111,"5/2/1986","FAILURE","ABT","FSLIC","T","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",31480,"SL","SL","NEW ORLEANS","NEW ORLEANS, LA","","",73507,"30SEP2025","6/25/1985","1985","7536","MCP-A","3","1018","NEW ORLEANS S&LA","LA","0",118050,105339,"6/20/1986","FAILURE","ABT","FSLIC","T","","na"
