RBCRWAJ,ROA,REPDTE,ASSET,CERT,NETINC,LNLSNET,DEP,NPERFV,ID,FAILED
0.0,1.6042160388458924,19840331,30495,14228,121,20969,26996,2.9775373011969175,14228_19840331,1
0.0,1.5417728191162259,19840630,30723,14228,234,21967,26955,4.615434690622661,14228_19840630,1
0.0,1.5596728570484435,19840930,29984,14228,354,23367,25921,4.135538954108858,14228_19840930,1
0.0,1.3815131978601243,19841231,32045,14228,423,23948,27908,3.9819004524886874,14228_19841231,1
0.0,0.9734205619291426,19850331,31237,14228,77,23965,25909,5.442263981816436,14228_19850331,1
0.0,0.9709244662525448,19850630,32503,14228,155,24950,28451,5.66716918438298,14228_19850630,1
0.0,1.1352346918164726,19850930,32937,14228,274,24950,28574,6.6672738865106105,14228_19850930,1
0.0,-0.8389261744966443,19851231,33986,14228,-273,22546,30531,15.46224916141941,14228_19851231,1
0.0,-1.6599244674657792,19860331,33005,14228,-139,21817,29785,18.139675806695955,14228_19860331,1
0.0,0.0,19860630,31653,14228,0,21467,28347,16.785138849398162,14228_19860630,1
0.0,-0.4600659029796229,19860930,30030,14228,-111,20401,26841,12.813852813852813,14228_19860930,1
0.0,-0.8723611076493607,19861231,31810,14228,-280,18568,28738,10.751336057843446,14228_19861231,1
0.0,0.1410414629846297,19870331,30583,14228,11,19079,27736,13.700421802962431,14228_19870331,1
0.0,-1.3692080326871252,19870630,29631,14228,-210,18574,26908,14.680571023590158,14228_19870630,1
0.0,-0.779675402443154,19870930,29049,14228,-177,18387,26246,13.460015835312747,14228_19870930,1
0.0,-0.7922674694977025,19871231,30391,14228,-240,17911,27753,12.73732354973512,14228_19871231,1
0.0,-0.13290802764486975,19880331,29801,14228,-10,17793,27195,12.435824301197947,14228_19880331,1
0.0,0.1477137933349746,19880630,29170,14228,22,18443,26522,12.159753171066164,14228_19880630,1
0.0,-0.1222152059886948,19880930,28460,14228,-27,17903,25934,13.264230498945889,14228_19880930,1
0.0,-0.3152627867874383,19881231,29674,14228,-93,16644,27260,12.832782907595874,14228_19881231,1
0.0,-1.5968063872255487,19890331,28943,14228,-117,16339,26716,12.870124036900114,14228_19890331,1
0.0,-1.814543949220367,19890630,28347,14228,-263,16270,26087,12.671534906692067,14228_19890630,1
0.0,-1.0885030963802877,19890930,27686,14228,-234,16137,25493,13.515856389510944,14228_19890930,1
0.0,-0.28279950562456796,19891231,28561,14228,-81,16124,26281,10.626378628199292,14228_19891231,1
10.049629497243568,1.2559307842590008,19900331,28767,14228,90,16022,26400,10.731045990197101,14228_19900331,1
10.301068519203833,0.7161397979048856,19900630,28968,14228,103,16273,26513,9.589892294946148,14228_19900630,1
9.308052920159207,-0.780924058466178,19900930,28437,14228,-168,16133,26124,8.956640995885643,14228_19900930,1
9.572258214132402,-0.4930660432656833,19901231,30278,14228,-143,15854,28044,5.598124050465684,14228_19901231,1
12.916588605091697,-0.5793571111147686,19910331,30479,14228,-44,16620,27630,7.536336493979462,14228_19910331,1
12.187170625291076,-0.35504125710904366,19910630,30500,14228,-54,17297,27632,4.665573770491803,14228_19910630,1
12.437810945273633,0.01762021970760717,19910930,29813,14228,4,16795,26929,5.178948780733237,14228_19910930,1
12.577989231076039,0.3362984747875055,19911231,30581,14228,102,17277,27662,4.169255420032046,14228_19911231,1
13.150526214154679,1.0258407998961172,19920331,31027,14228,79,16624,28121,4.99242595159055,14228_19920331,1
13.778296474666746,1.0247097736558792,19920630,30906,14228,158,17236,27739,3.1482560020707955,14228_19920630,1
14.187307211438666,1.2876221498371334,19920930,29672,14228,295,17245,26233,3.6768670800754917,14228_19920930,1
14.526976245775492,1.1384305783098336,19921231,32852,14228,353,16073,29601,3.0226470230122975,14228_19921231,1
14.561951368128417,0.9310017456282731,19930331,32454,14228,76,14841,29172,3.3216244530720402,14228_19930331,1
15.264601082159041,0.864275573333886,19930630,31191,14228,139,14320,28043,3.209259081145202,14228_19930630,1
16.147261402166144,0.9026431179577188,19930930,31125,14228,216,14209,27928,3.087550200803213,14228_19930930,1
17.77349806596922,0.9580529850418087,19931231,31555,14228,305,13312,28262,2.8711773094596738,14228_19931231,1
17.898246982623647,0.4504939344209544,19940331,30599,14228,35,12999,27315,1.9379718291447432,14228_19940331,1
18.626420327458174,0.6744706378287234,19940630,30363,14228,104,12864,27075,2.1177090537825642,14228_19940630,1
19.54698806260094,0.7666023096649842,19940930,29925,14228,176,12726,26601,1.4937343358395991,14228_19940930,1
21.59178991101603,0.8296838091271728,19941231,31231,14228,255,11268,27880,1.4344721590727163,14228_19941231,1
21.582210144487984,0.7346780949925887,19950331,30837,14228,57,11859,27366,1.0020430002918572,14228_19950331,1
20.427406060089908,1.0208283664578772,19950630,30210,14228,157,12277,26683,1.0923535253227408,14228_19950630,1
20.7036715395378,1.1006284549050438,19950930,29831,14228,252,12711,26159,0.791123328081526,14228_19950930,1
21.85090779280154,1.0802096455215355,19951231,31102,14228,331,11879,27365,0.4083338692045527,14228_19951231,1
24.621513393135025,0.8348415920690048,19960331,30227,14228,64,10570,26531,0.1025573163066133,14228_19960331,1
24.86335064225198,1.1997890480794586,19960630,29687,14228,182,10891,25940,0.010105433354667025,14228_19960630,1
0.0,1.8726591760299627,19840331,24564,27886,115,13820,23192,0.0,27886_19840331,1
0.0,1.4745578340920995,19840630,25078,27886,183,14354,23648,0.0,27886_19840630,1
0.0,0.8215379475885277,19840930,31180,27886,166,20182,29644,0.0,27886_19840930,1
0.0,0.5327898162053922,19841231,31042,27886,149,20335,29706,0.0,27886_19841231,1
0.0,-0.05124427505364635,19850331,31404,27886,-4,20602,29998,0.0,27886_19850331,1
0.0,0.3686596889698716,19850630,31950,27886,58,20256,30514,0.0,27886_19850630,1
0.0,0.4643622115803221,19850930,31939,27886,110,20419,30415,0.0,27886_19850930,1
0.0,0.27490409954688216,19851231,31902,27886,87,20394,30732,0.0,27886_19851231,1
0.0,0.4501406689590497,19860331,32078,27886,36,20479,30591,0.0,27886_19860331,1
0.0,1.0959762016596213,19860630,31825,27886,175,20390,30198,0.0,27886_19860630,1
0.0,1.0519461490294302,19860930,31955,27886,252,20305,30241,0.0,27886_19860930,1
0.0,1.0743258057443543,19861231,31875,27886,343,20236,30118,0.0,27886_19861231,1
0.0,0.37570444583594237,19870331,32005,27886,30,19533,30219,0.0,27886_19870331,1
0.0,1.9225203621780298,19870630,32868,27886,310,19121,30833,0.0,27886_19870630,1
0.0,1.6045067864947213,19870930,33216,27886,391,19152,31101,0.0,27886_19870930,1
0.0,0.9803020555708728,19871231,33251,27886,320,19146,31277,0.0,27886_19871231,1
0.0,0.8725386157292773,19880331,34597,27886,74,19354,32514,0.0,27886_19880331,1
0.0,0.5047233207313653,19880630,35575,27886,87,19251,33453,0.0,27886_19880630,1
0.0,0.5412506657837534,19880930,35511,27886,141,19226,33378,0.0,27886_19880930,1
0.0,0.5920646179896117,19881231,35878,27886,207,19608,33731,0.0,27886_19881231,1
0.0,0.5049371633752244,19890331,35418,27886,45,20352,33221,0.0,27886_19890331,1
0.0,0.6513011987310856,19890630,35567,27886,116,20863,33308,0.0,27886_19890630,1
0.0,0.43406808677836717,19890930,35661,27886,116,21334,33456,0.0,27886_19890930,1
0.0,0.3034850196422249,19891231,35409,27886,108,20619,33344,0.0,27886_19891231,1
8.832455592252074,-0.0904018645384561,19900331,35386,27886,-8,20448,33361,4.747640309727011,27886_19900331,1
16.76704198306712,0.3334306624344206,19900630,35374,27886,59,20516,33268,2.8919545428846045,27886_19900630,1
13.953488372093023,0.2505756978209336,19900930,34304,27886,66,20200,32184,2.378731343283582,27886_19900930,1
15.370576099031899,0.3151338745996367,19901231,34056,27886,110,19357,31930,2.284472633309843,27886_19901231,1
8.512997959364741,-0.27395696592660235,19910331,36028,27886,-24,19025,33857,2.1760852670145443,27886_19910331,1
16.456841311722577,0.20848985725018784,19910630,36396,27886,37,18555,34150,2.4425761072645344,27886_19910630,1
16.634294149638723,-0.0374201877604861,19910930,36042,27886,-10,18787,33824,2.23350535486377,27886_19910930,1
13.13953488372093,-0.0447527411053927,19911231,36238,27886,-16,18039,34036,2.2352226944091838,27886_19911231,1
12.397252561648463,0.5601933216168717,19920331,36594,27886,51,17600,34347,1.2870962452861126,27886_19920331,1
13.156960227272727,0.36905450439285026,19920630,36095,27886,67,17330,33830,2.415847070231334,27886_19920630,1
14.095664268005079,0.6323849646715818,19920930,34442,27886,170,17032,32090,2.804715173334882,27886_19920930,1
